GR;PODGR;RODZ;TYP;OPIS;NR_ODPADU
01;;;B;Odpady powstaj¹ce przy poszukiwaniu, wydobywaniu, fizycznej i chemicznej przeróbce rud oraz innych kopalin;1
01;01;;B;Odpady z wydobywania kopalin;2
01;01;01;B;Odpady z wydobywania rud metali (z wy³¹czeniem 01 01 80);3
01;01;02;B;Odpady z wydobywania rud metali (z wy³¹czeniem 01 01 80);4
01;01;80;B;Odpady skalne z górnictwa miedzi, cynku i o³owiu;5
01;03;;B;Odpady z fizycznej i chemicznej przeróbki rud metali;6
01;03;04;N;Odpady z przeróbki rud siarczkowych powoduj¹ce samoczynne zakwaszenie œrodowiska w czasie sk³adowania;7
01;03;05;N;Inne odpady poprzeróbcze zawieraj¹ce substancje niebezpieczne (z wy³¹czeniem 01 03 80);8
01;03;06;B;Inne odpady poprzeróbcze ni¿ wymienione w 01 03 04, 01 03 05, 01 03 80 i 01 03 81;9
01;03;07;N;Inne odpady zawieraj¹ce substancje niebezpieczne z fizycznej i chemicznej przeróbki rud metali;10
01;03;08;B;Odpady w postaci py³ów i proszków inne ni¿ wymienione w 01 03 07;11
01;03;09;B;Czerwony szlam powstaj¹cy przy produkcji tlenku glinu inny ni¿ wymieniony w 01 03 07;12
01;03;80;N;Odpady z flotacyjnego wzbogacania rud metali nie¿elaznych zawieraj¹ce substancje niebezpieczne;13
01;03;81;B;Odpady z flotacyjnego wzbogacania rud metali nie¿elaznych inne ni¿ wymienione w 01 03 80;14
01;03;99;B;Inne nie wymienione odpady;15
01;04;;B;Odpady z fizycznej i chemicznej przeróbki kopalin innych ni¿ rudy metali;16
01;04;07;N;Odpady zawieraj¹ce niebezpieczne substancje z fizycznej i chemicznej przeróbki kopalin innych ni¿ rudy metali;17
01;04;08;B;Odpady ¿wiru lub skruszone ska³y inne ni¿ wymienione w 01 04 07;18
01;04;09;B;Odpadowe piaski i i³y;19
01;04;10;B;Odpady w postaci py³ów i proszków inne ni¿ wymienione w 01 04 07;20
01;04;11;B;Odpady powstaj¹ce przy wzbogacaniu soli kamiennej i potasowej inne ni¿ wymienione w 01 04 07;21
01;04;12;B;Odpady powstaj¹ce przy p³ukaniu i oczyszczaniu kopalin inne ni¿ wymienione w 01 04 07 i 01 04 11;22
01;04;13;B;Odpady powstaj¹ce przy ciêciu i obróbce postaciowej ska³ inne ni¿ wymienione w 01 04 07;23
01;04;80;N;Odpady z flotacyjnego wzbogacania wêgla zawieraj¹ce substancje niebezpieczne;24
01;04;81;B;Odpady z flotacyjnego wzbogacania wêgla inne ni¿ wymienione w 01 04 80;25
01;04;82;N;Odpady z flotacyjnego wzbogacania rud siarkowych zawieraj¹ce substancje niebezpieczne;26
01;04;83;B;Odpady z flotacyjnego wzbogacania rud siarkowych inne ni¿ wymienione w 01 04 82;27
01;04;84;N;Odpady z flotacyjnego wzbogacania rud fosforowych (fosforytów, apatytów) zawieraj¹ce substancje niebezpieczne;28
01;04;85;B;Odpady z flotacyjnego wzbogacania rud fosforowych (fosforytów, apatytów) inne ni¿ wymienione w 01 04 84;29
01;04;99;B;Inne nie wymienione odpady;30
01;05;;B;P³uczki wiertnicze i inne odpady wiertnicze;31
01;05;04;B;P³uczki i odpady wiertnicze z odwiertów wody s³odkiej;32
01;05;05;N;P³uczki i odpady wiertnicze zawieraj¹ce ropê naftow¹;33
01;05;06;N;P³uczki i odpady wiertnicze zawieraj¹ce substancje niebezpieczne;34
01;05;07;B;P³uczki wiertnicze zawieraj¹ce baryt i odpady inne ni¿ wymienione w 01 05 05 i 01 05 06;35
01;05;08;B;P³uczki wiertnicze zawieraj¹ce chlorki i odpady inne ni¿ wymienione w 01 05 05 i 01 05 06;36
01;05;99;B;Inne nie wymienione odpady;37
02;;;B;Odpady z rolnictwa, sadownictwa, upraw hydroponicznych, rybo³ówstwa, leœnictwa, ³owiectwa oraz przetwórstwa ¿ywnoœci;38
02;01;;B;Odpady z rolnictwa, sadownictwa, upraw hydroponicznych, leœnictwa, ³owiectwa i rybo³ówstwa;39
02;01;01;B;Osady z mycia i czyszczenia;40
02;01;02;B;Odpadowa tkanka zwierzêca;41
02;01;03;B;Odpadowa masa roœlinna;42
02;01;04;B;Odpady tworzyw sztucznych (z wy³¹czeniem opakowañ);43
02;01;06;B;Odchody zwierzêce;44
02;01;07;B;Odpady z gospodarki leœnej;45
02;01;08;N;Odpady agrochemikaliów zawieraj¹ce substancje niebezpieczne, w tym œrodki ochrony roœlin I i II klasy toksycznoœci (bardzo toksyczne i toksyczne);46
02;01;09;B;Odpady agrochemikaliów inne ni¿ wymienione w 02 01 08;47
02;01;10;B;Odpady metalowe;48
02;01;80;N;Zwierzêta pad³e i ubite z koniecznoœci oraz odpadowa tkanka zwierzêca wykazuj¹ce w³aœciwoœci niebezpieczne;49
02;01;81;B;Zwierzêta pad³e i odpadowa tkanka zwierzêca stanowi¹ce materia³ szczególnego i wysokiego ryzyka inne ni¿ wymienione w 02 01 80;50
02;01;82;B;Zwierzêta pad³e i ubite z koniecznoœci;51
02;01;83;B;Odpady z upraw hydroponicznych;52
02;01;99;B;Inne nie wymienione odpady;53
02;02;;B;Odpady z przygotowania i przetwórstwa produktów spo¿ywczych pochodzenia zwierzêcego;54
02;02;01;B;Odpady z mycia i przygotowywania surowców;55
02;02;02;B;Odpadowa tkanka zwierzêca;56
02;02;03;B;Surowce i produkty nie nadaj¹ce siê do spo¿ycia i przetwórstwa;57
02;02;04;B;Osady z zak³adowych oczyszczalni œcieków;58
02;02;80;N;Odpadowa tkanka zwierzêca wykazuj¹ca w³aœciwoœci niebezpieczne;59
02;02;81;B;Odpadowa tkanka zwierzêca stanowi¹ca materia³ szczególnego i wysokiego ryzyka, w tym odpady z produkcji pasz miêsno-kostnych inne ni¿ wymienione w 02 02 80;60
02;02;82;B;Odpady z produkcji m¹czki rybnej inne ni¿ wymienione w 02 02 80;61
02;02;99;B;Inne nie wymienione odpady;62
02;03;;B;Odpady z przygotowania, przetwórstwa produktów i u¿ywek spo¿ywczych oraz odpady pochodzenia roœlinnego, w tym odpady z owoców, warzyw, produktów zbo¿owych, olejów jadalnych, kakao, kawy, herbaty oraz przygotowania i przetwórstwa tytoniu, dro¿d¿y i produkcji ekstraktów dro¿d¿owych, przygotowywania i fermentacji melasy (z wy³¹czeniem 02 07);63
02;03;01;B;Szlamy z mycia, oczyszczania, obierania, odwirowywania i oddzielania surowców;64
02;03;02;B;Odpady konserwantów;65
02;03;03;B;Odpady poekstrakcyjne;66
02;03;04;B;Surowce i produkty nie nadaj¹ce siê do spo¿ycia i przetwórstwa;67
02;03;05;B;Osady z zak³adowych oczyszczalni œcieków;68
02;03;80;B;Wyt³oki, osady i inne odpady z przetwórstwa produktów roœlinnych (z wy³¹czeniem 02 03 81);69
02;03;81;B;Odpady z produkcji pasz roœlinnych;70
02;03;82;B;Odpady tytoniowe;71
02;03;99;B;Inne nie wymienione odpady;72
02;04;;B;Odpady z przemys³u cukrowniczego;73
02;04;01;B;Osady z oczyszczania i mycia buraków;74
02;04;02;B;Nienormatywny wêglan wapnia oraz kreda cukrownicza (wapno defekacyjne);75
02;04;03;B;Osady z zak³adowych oczyszczalni œcieków;76
02;04;80;B;Wys³odki;77
02;04;99;B;Inne nie wymienione odpady;78
02;05;;B;Odpady z przemys³u mleczarskiego;79
02;05;01;B;Surowce i produkty nieprzydatne do spo¿ycia oraz przetwarzania;80
02;05;02;B;Osady z zak³adowych oczyszczalni œcieków;81
02;05;80;B;Odpadowa serwatka;82
02;05;99;B;Inne nie wymienione odpady;83
02;06;;B;Odpady z przemys³u piekarniczego i cukierniczego;84
02;06;01;B;Surowce i produkty nieprzydatne do spo¿ycia i przetwórstwa;85
02;06;02;B;Odpady konserwantów;86
02;06;03;B;Osady z zak³adowych oczyszczalni œcieków;87
02;06;80;B;Nieprzydatne do wykorzystania t³uszcze spo¿ywcze;88
02;06;99;B;Inne nie wymienione odpady;89
02;07;;B;Odpady z produkcji napojów alkoholowych i bezalkoholowych (z wy³¹czeniem kawy, herbaty i kakao);90
02;07;01;B;Odpady z mycia, oczyszczania i mechanicznego rozdrabniania surowców;91
02;07;02;B;Odpady z destylacji spirytualiów;92
02;07;03;B;Odpady z procesów chemicznych;93
02;07;04;B;Surowce i produkty nie przydatne do spo¿ycia i przetwórstwa;94
02;07;05;B;Osady z zak³adowych oczyszczalni œcieków;95
02;07;80;B;Wyt³oki, osady moszczowe i pofermentacyjne, wywary;96
02;07;99;B;Inne nie wymienione odpady;97
03;;;B;Odpady z przetwórstwa drewna oraz z produkcji p³yt i mebli, masy celulozowej, papieru i tektury;98
03;01;;B;Odpady z przetwórstwa drewna oraz z produkcji p³yt i mebli;99
03;01;01;B;Odpady kory i korka;100
03;01;04;N;Trociny, wióry, œcinki, drewno, p³yta wiórowa i fornir zawieraj¹ce substancje niebezpieczne;101
03;01;05;B;Trociny, wióry, œcinki, drewno, p³yta wiórowa i fornir inne ni¿ wymienione w 03 01 04;102
03;01;80;N;Odpady z chemicznej przeróbki drewna zawieraj¹ce substancje niebezpieczne;103
03;01;81;B;Odpady z chemicznej przeróbki drewna inne ni¿ wymienione w 03 01 80;104
03;01;82;B;Osady z zak³adowych oczyszczalni œcieków;105
03;01;99;B;Inne nie wymienione odpady;106
03;02;;B;Odpady powstaj¹ce przy konserwacji drewna;107
03;02;01;N;Œrodki do konserwacji i impregnacji drewna nie zawieraj¹ce zwi¹zków chlorowcoorganicznych;108
03;02;02;N;Œrodki do konserwacji i impregnacji drewna zawieraj¹ce zwi¹zki chlorowcoorganiczne;109
03;02;03;N;Metaloorganiczne œrodki do konserwacji i impregnacji drewna;110
03;02;04;N;Nieorganiczne œrodki do konserwacji i impregnacji drewna;111
03;02;05;N;Inne œrodki do konserwacji i impregnacji drewna zawieraj¹ce substancje niebezpieczne;112
03;02;99;B;Inne nie wymienione odpady;113
03;03;;B;Odpady z produkcji oraz z przetwórstwa masy celulozowej, papier;114
03;03;01;B;Odpady z kory i drewna;116
03;03;02;B;Osady i szlamy z produkcji celulozy metod¹ siarczynow¹ (w tym osady ³ugu zielonego);117
03;03;05;B;Szlamy z odbarwiania makulatury;118
03;03;07;B;Mechanicznie wydzielone odrzuty z przeróbki makulatury i tektury;119
03;03;08;B;Odpady z sortowania papieru i tektury przeznaczone do recyklingu;120
03;03;09;B;Odpady szlamów defekosaturacyjnych;121
03;03;10;B;Odpady z w³ókna, szlamy z w³ókien, wype³niaczy i pow³ok pochodz¹ce z mechanicznej separacji;122
03;03;11;B;Osady z zak³adowych oczyszczalni œcieków inne ni¿ wymienione w 03 03 10;123
03;03;80;B;Szlamy z procesów bielenia podchlorynem lub chlorem;124
03;03;81;B;Szlamy z innych procesów bielenia;125
03;03;99;B;Inne nie wymienione odpady;126
04;;;B;Odpady z przemys³u skórzanego, futrzarskiego i tekstylnego;127
04;01;;B;Odpady z przemys³u skórzanego i futrzarskiego;128
04;01;01;B;Odpady z mizdrowania (odzierki i dwoiny wapniowe);129
04;01;02;B;Odpady z wapnienia;130
04;01;03;N;Odpady z odt³uszczania zawieraj¹ce rozpuszczalniki (bez fazy ciek³ej);131
04;01;04;B;Brzeczka garbuj¹ca zawieraj¹ca chrom;132
04;01;05;B;Brzeczka garbuj¹ca nie zawieraj¹ca chromu;133
04;01;06;B;Osady zawieraj¹ce chrom, zw³aszcza z zak³adowych oczyszczalni œcieków;134
04;01;07;B;Osady nie zawieraj¹ce chromu, zw³aszcza z zak³adowych oczyszczalni œcieków;135
04;01;08;B;Odpady skóry wygarbowanej zawieraj¹ce chrom (wióry, obcinki, py³ ze szlifowania skór);136
04;01;09;B;Odpady z polerowania i wykañczania;137
04;01;99;B;Inne nie wymienione odpady;138
04;02;;B;Odpady z przemys³u tekstylnego;139
04;02;09;B;Odpady materia³ów z³o¿onych (np. tkaniny impregnowane, elastomery, plastomery);140
04;02;10;B;Substancje organiczne z produktów naturalnych (np. t³uszcze, woski);141
04;02;14;N;Odpady z wykañczania zawieraj¹ce rozpuszczalniki organiczne;142
04;02;15;B;Odpady z wykañczania inne ni¿ wymienione w 04 02 14;143
04;02;16;N;Barwniki i pigmenty zawieraj¹ce substancje niebezpieczne;144
04;02;17;B;Barwniki i pigmenty inne ni¿ wymienione w 04 02 16;145
04;02;19;N;Odpady z zak³adowych oczyszczalni œcieków zawieraj¹ce substancje niebezpieczne;146
04;02;20;B;Odpady z zak³adowych oczyszczalni œcieków inne ni¿ wymienione w 04 02 19;147
04;02;21;B;Odpady z nieprzetworzonych w³ókien tekstylnych;148
04;02;22;B;Odpady z przetworzonych w³ókien tekstylnych;149
04;02;80;B;Odpady z mokrej obróbki wyrobów tekstylnych;150
04;02;99;B;Inne nie wymienione odpady;151
05;;;B;Odpady z przeróbki ropy naftowej, oczyszczania gazu ziemnego oraz pirolitycznej przeróbki wêgla;152
05;01;;B;Odpady z przeróbki (np. rafinacji) ropy naftowej;153
05;01;02;N;Osady z odsalania;154
05;01;03;N;Osady z dna zbiorników;155
05;01;04;N;Kwaœne szlamy z procesów alkilowania;156
05;01;05;N;Wycieki ropy naftowej;157
05;01;06;N;Zaolejone osady z konserwacji instalacji lub urz¹dzeñ;158
05;01;07;N;Kwaœne smo³y;159
05;01;08;N;Inne smo³y;160
05;01;09;N;Osady z zak³adowych oczyszczalni œcieków zawieraj¹ce substancje niebezpieczne;161
05;01;10;B;Osady z zak³adowych oczyszczalni œcieków inne ni¿ wymienione w 05 01 09;162
05;01;11;N;Odpady z alkalicznego oczyszczania paliw;163
05;01;12;N;Ropa naftowa zawieraj¹ca kwasy;164
05;01;13;B;Osady z uzdatniania wody kot³owej;165
05;01;14;B;Odpady z kolumn ch³odniczych;166
05;01;15;N;Zu¿yte naturalne materia³y filtracyjne (np. gliny, i³y);167
05;01;16;B;Odpady zawieraj¹ce siarkê z odsiarczania ropy naftowej;168
05;01;17;B;Bitum;169
05;01;99;B;Inne nie wymienione odpady;170
05;06;;B;Odpady z pirolitycznej przeróbki wêgla;171
05;06;01;N;Kwaœne smo³y;172
05;06;03;N;Inne smo³y;173
05;06;04;B;Odpady z kolumn ch³odniczych;174
05;06;80;N;Odpady ciek³e zawieraj¹ce fenole;175
05;06;99;B;Inne nie wymienione odpady;176
05;07;;B;Odpady z oczyszczania i transportu gazu ziemnego;177
05;07;01;N;Osady zawieraj¹ce rtêæ;178
05;07;02;B;Odpady zawieraj¹ce siarkê;179
05;07;99;B;Inne nie wymienione odpady;180
06;;;B;Odpady z produkcji, przygotowania, obrotu i stosowania produktów przemys³u chemii nieorganicznej;181
06;01;;B;Odpady z produkcji, przygotowania, obrotu i stosowania kwasów nieorganicznych;182
06;01;01;N;Kwas siarkowy i siarkawy;183
06;01;02;N;Kwas chlorowodorowy;184
06;01;03;N;Kwas fluorowodorowy;185
06;01;04;N;Kwas fosforowy i fosforawy;186
06;01;05;N;Kwas azotowy i azotawy;187
06;01;06;N;Inne kwasy;188
06;01;99;B;Inne nie wymienione odpady;189
06;02;;B;Odpady z produkcji, przygotowania, obrotu i stosowania wodorotlenków;190
06;02;01;N;Wodorotlenek wapniowy;191
06;02;03;N;Wodorotlenek amonowy;192
06;02;04;N;Wodorotlenek sodowy i potasowy;193
06;02;05;N;Inne wodorotlenki;194
06;02;99;B;Inne nie wymienione odpady;195
06;03;;B;Odpady z produkcji, przygotowania, obrotu i stosowania soli i ich roztworów oraz tlenków metali;196
06;03;11;N;Sole i roztwory zawieraj¹ce cyjanki;197
06;03;13;N;Sole i roztwory zawieraj¹ce metale ciê¿kie;198
06;03;14;B;Sole i roztwory inne ni¿ wymienione w 06 03 11 i 06 03 13;199
06;03;15;N;Tlenki metali zawieraj¹ce metale ciê¿kie;200
06;03;16;B;Tlenki metali inne ni¿ wymienione w 06 03 15;201
06;03;99;B;Inne nie wymienione odpady;202
06;04;;B;Odpady zawieraj¹ce metale inne ni¿ wymienione w 06 03;203
06;04;03;N;Odpady zawieraj¹ce arsen;204
06;04;04;N;Odpady zawieraj¹ce rtêæ;205
06;04;05;N;Odpady zawieraj¹ce inne metale ciê¿kie;206
06;04;99;B;Inne nie wymienione odpady;207
06;05;;B;Osady z zak³adowych oczyszczalni œcieków;208
06;05;02;N;Osady z zak³adowych oczyszczalni œcieków zawieraj¹ce substancje niebezpieczne;209
06;05;03;B;Osady z zak³adowych oczyszczalni œcieków inne ni¿ wymienione w 06 05 02;210
06;06;;B;Odpady z produkcji, przygotowania, obrotu i stosowania zwi¹zków siarki oraz z chemicznych procesów przetwórstwa siarki i odsiarczania;211
06;06;02;N;Odpady zawieraj¹ce niebezpieczne siarczki;212
06;06;03;B;Odpady zawieraj¹ce siarczki inne ni¿ wymienione w 06 06 02;213
06;06;99;B;Inne nie wymienione odpady;214
06;07;;B;Odpady z produkcji, przygotowania, obrotu i stosowania chlorowców oraz z chemicznych procesów przetwórstwa chloru;215
06;07;01;N;Odpady azbestowe z elektrolizy;216
06;07;02;N;Wêgiel aktywny z produkcji chloru;217
06;07;03;N;Osady siarczanu baru zawieraj¹ce rtêæ;218
06;07;04;N;Roztwory i kwasy (np. kwas siarkowy);219
06;07;99;B;Inne nie wymienione odpady;220
06;08;;B;Odpady z produkcji, przygotowania, obrotu i stosowania krzemu oraz pochodnych krzemu;221
06;08;02;N;Odpady zawieraj¹ce niebezpieczne silikony;222
06;08;99;B;Inne nie wymienione odpady;223
06;09;;B;Odpady z produkcji, przygotowania, obrotu i stosowania chemikaliów fosforowych oraz z chemicznych procesów przetwórstwa fosforu;224
06;09;02;B;¯u¿el fosforowy;225
06;09;03;N;Poreakcyjne odpady zwi¹zków wapnia zawieraj¹ce lub zanieczyszczone substancjami niebezpiecznymi;226
06;09;04;B;Poreakcyjne odpady zwi¹zków wapnia inne ni¿ wymienione w 06 09 03 i 06 09 80;227
06;09;80;B;Fosfogipsy;228
06;09;81;B;Fosfogipsy wymieszane z ¿u¿lami, popio³ami paleniskowymi, i py³ami z kot³ów (z wy³¹czeniem py³ów z kot³ów wymienionych w 10 01 04);229
